"year" "acousticness" "duration" "energy" "explicit" "key" "liveness" "loudness" "mode" "tempo" "pop.class"
"206" 1982 0.409 286400 0.722 0 "C" 0.104 -13.825 0 115.722 "C"
"207" 1955 0.547 134493 0.667 0 "Ab" 0.131 -5.194 0 113.92 "D"
"208" 1962 0.741 415493 0.32 1 "C" 0.685 -16.698 1 98.936 "D"
"209" 1961 0.8 182200 0.234 0 "C" 0.178 -12.524 0 73.433 "D"
"210" 1948 0.995 90860 0.255 1 "C" 0.422 -13.234 1 169.99 "D"
"211" 1945 0.918 166975 0.519 0 "C" 0.156 -16.17 0 102.037 "D"
"212" 2007 0.0404 268960 0.657 0 "G" 0.14 -6.722 0 111.115 "A"
"213" 1939 0.993 177467 0.307 0 "Eb" 0.206 -13.796 0 113.786 "D"
"214" 2006 0.00138 283467 0.952 0 "C" 0.381 -4.499 0 155.973 "B"
"215" 1938 0.917 154107 0.259 0 "F" 0.0582 -11.539 0 77.095 "D"
"216" 1929 0.0925 130000 0.263 1 "D" 0.106 -18.374 1 82.616 "D"
"217" 1983 0.000213 249080 0.974 0 "Db" 0.111 -4.662 0 184.559 "C"
"218" 1959 0.781 197387 0.367 0 "Db" 0.336 -10.153 0 81.151 "D"
"219" 1965 0.298 142067 0.525 0 "F" 0.0691 -13.038 0 80.508 "C"
"220" 2011 0.015 249147 0.652 0 "B" 0.0835 -5.701 0 109.988 "B"
"221" 1971 0.919 279840 0.166 0 "C" 0.102 -16.823 0 85.062 "C"
"222" 1986 0.823 272867 0.16 0 "D" 0.101 -17.424 0 140.25 "B"
"223" 2000 0.035 300933 0.896 0 "C" 0.0941 -4.719 0 95.158 "B"
"224" 1925 0.904 169827 0.267 0 "F" 0.188 -11.869 0 106.781 "D"
"225" 1985 0.0646 293400 0.948 0 "G" 0.894 -7.13 0 98.493 "C"
"226" 1970 0.0771 321387 0.835 0 "D" 0.228 -10.329 0 102.795 "C"
"227" 2013 0.414 295866 0.572 0 "Ab" 0.0767 -11.73 0 137.203 "D"
"228" 1962 0.445 411867 0.161 0 "G" 0.123 -18.215 0 76.302 "C"
"229" 1969 0.617 158880 0.397 0 "G" 0.345 -12.981 0 101.403 "C"
"230" 2014 0.00652 230773 0.661 0 "A" 0.0976 -4.984 0 110.978 "A"
"231" 1984 0.000169 263093 0.85 0 "G" 0.357 -3.749 0 123.183 "C"
"232" 1989 0.000873 295053 0.987 0 "Db" 0.823 -5.8 0 104.964 "C"
"233" 1926 0.59 142721 0.16 1 "A" 0.127 -22.265 1 113.853 "D"
"234" 1957 0.565 173240 0.188 1 "D" 0.202 -14.263 1 90.529 "C"
"235" 1924 0.932 207000 0.363 0 "Ab" 0.189 -12.306 0 161.306 "D"
"236" 2016 0.0209 252235 0.582 0 "Gb" 0.0937 -8.835 0 99.996 "B"
"237" 2017 0.0041 197640 0.804 0 "Ab" 0.33 -5.194 0 144.992 "A"
"238" 1935 0.994 203013 0.302 0 "F" 0.153 -18.149 0 108.298 "D"
"239" 1964 0.308 240067 0.259 0 "Gb" 0.239 -17.656 0 98.415 "C"
"240" 1977 0.799 752720 0.151 0 "G" 0.0738 -18.838 0 85.198 "C"
"241" 1930 0.968 179973 0.19 0 "C" 0.284 -12.696 0 76.398 "D"
"242" 1985 0.405 274000 0.284 0 "G" 0.184 -16.146 0 86.093 "C"
