"year","acousticness","duration","energy","explicit","key","liveness","loudness","mode","tempo","pop.class"
1955,0.902,140613,0.511,0,"A",0.334,-14.219,0,136.654,"D"
2020,0.0494,114500,0.501,0,"D",0.436,-6.774,0,120.038,"A"
1950,0.726,100400,0.334,0,"Eb",0.144,-16.208,0,82.868,"D"
1958,0.798,146853,0.549,1,"C",0.269,-8.457,1,184.152,"D"
2018,0.0563,197880,0.696,0,"B",0.226,-5.994,0,139.98,"A"
1990,0.0394,292667,0.651,1,"Bb",0.303,-11.562,1,102.373,"C"
1973,0.63,151413,0.322,1,"Db",0.0582,-10.987,1,113.35,"B"
1982,0.0541,218067,0.741,0,"D",0.17,-9.645,0,150.127,"C"
1942,0.721,247876,0.29,1,"C",0.177,-15.2,1,139.669,"D"
2018,0.172,205440,0.409,1,"A",0.11,-6.581,1,171.838,"A"
1996,0.000107,261693,0.9,0,"Ab",0.11,-7.146,0,116.023,"B"
2016,0.00634,203453,0.709,1,"Db",0.0967,-5.132,1,99.966,"B"
2005,0.0191,225333,0.82,1,"Bb",0.0927,-7.124,1,156.412,"B"
1994,0.777,182207,0.256,0,"Gb",0.105,-10.068,0,89.585,"B"
2017,0.45,207365,0.608,0,"Bb",0.0897,-5.746,0,148.081,"A"
2016,0.745,194347,0.386,1,"G",0.122,-7.843,1,119.91,"A"
1999,0.367,199200,0.575,0,"A",0.236,-7.323,0,134.165,"B"
1970,0.398,224187,0.608,1,"C",0.195,-9.643,1,83.356,"B"
1979,0.753,237440,0.377,0,"A",0.107,-12.099,0,93.437,"D"
2020,0.0941,392253,0.637,0,"Db",0.092,-6.408,0,96.015,"B"
2012,0.00247,214665,0.785,1,"G",0.0669,-3.503,1,130.027,"B"
2008,0.299,211347,0.88,0,"Bb",0.0499,-3.443,0,119.028,"B"
1990,0.265,171485,0.818,0,"F",0.0998,-7.726,0,123.015,"C"
1996,0.00597,417200,0.509,1,"Db",0.108,-8.057,1,127.013,"B"
1984,0.0626,168667,0.72,0,"D",0.0744,-11.97,0,103.507,"C"
1981,0.0688,187115,0.798,1,"B",0.598,-8.085,1,97.771,"C"
1955,0.964,175600,0.392,0,"Ab",0.243,-12.023,0,105.88,"D"
1982,0.482,323400,0.32,1,"B",0.111,-15.761,1,131.131,"C"
1981,0.206,244240,0.654,0,"A",0.0641,-12.652,0,134.055,"C"
2001,0.0799,267227,0.782,0,"Gb",0.0985,-5.968,0,141.942,"A"
1970,0.0836,238627,0.512,1,"A",0.103,-7.6,1,89.296,"B"
1965,0.842,277600,0.0767,0,"E",0.108,-16.251,0,120.823,"C"
2009,0.00109,308667,0.896,0,"Gb",0.197,-5.299,0,177.727,"B"
1996,0.231,253667,0.297,0,"Gb",0.115,-9.903,0,130.182,"B"
1984,0.0315,264133,0.848,0,"G",0.193,-4.519,0,118.221,"C"
1979,0.166,298667,0.5,1,"E",0.0708,-8.194,1,134.211,"B"
1941,0.992,36667,0.262,0,"D",0.112,-21.228,0,125.377,"D"
1942,0.421,219768,0.412,0,"D",0.0659,-13.378,0,135.559,"D"
1981,0.0279,115800,0.738,1,"Db",0.0697,-13.983,1,112.325,"C"
2018,0.00254,129196,0.741,0,"Bb",0.151,-5.043,0,140.024,"A"
1996,0.368,207360,0.828,0,"Bb",0.147,-7.212,0,121.361,"C"
1998,0.249,156213,0.599,0,"A",0.0923,-8.548,0,183.04,"C"
1975,0.0158,274267,0.488,0,"F",0.27,-11.451,0,130.179,"C"
1946,0.941,837093,0.212,0,"D",0.0305,-17.686,0,118.272,"D"
1959,0.773,129387,0.0851,0,"C",0.11,-21.219,0,142.289,"C"
1957,0.969,190587,0.101,1,"F",0.123,-16.703,1,68.478,"D"
1982,0.163,205190,0.741,0,"Gb",0.0869,-5.83,0,120.36,"B"
2010,0.00013,258120,0.913,0,"Db",0.0477,-4.028,0,98.005,"B"
1957,0.743,448640,0.462,0,"Bb",0.256,-9.072,0,118.371,"D"
1935,0.988,203010,0.482,1,"Db",0.338,-16.303,1,133.388,"D"
2003,0.274,221267,0.642,0,"Db",0.0717,-4.925,0,85.565,"C"
2005,0.307,304187,0.836,0,"C",0.491,-6.052,0,121.147,"B"
1967,0.629,179720,0.47,0,"D",0.0791,-9.629,0,116.338,"C"
1935,0.865,248047,0.18,0,"C",0.259,-19.833,0,79.287,"D"
1945,0.995,134467,0.0526,0,"Bb",0.0993,-18.966,0,75.288,"D"
1993,0.947,403133,0.119,1,"C",0.313,-17.285,1,75.615,"C"
1952,0.903,198973,0.315,0,"C",0.107,-9.071,0,129.623,"D"
1991,0.0648,398027,0.349,0,"Db",0.055,-13.452,0,131.189,"C"
1994,0.727,377907,0.421,0,"D",0.33,-8.112,0,92.545,"B"
2005,0.00702,526013,0.805,1,"D",0.118,-5.211,1,164.952,"B"
1960,0.829,159280,0.0697,0,"Bb",0.131,-17.784,0,110.773,"C"
2011,0.0145,204013,0.847,1,"B",0.436,-4.734,1,99.058,"B"
1975,0.923,169560,0.211,0,"Db",0.117,-15.603,0,130.071,"B"
1964,0.943,164000,0.245,0,"G",0.118,-12.101,0,95.249,"B"
1976,0.745,278560,0.53,0,"D",0.213,-9.905,0,105.706,"C"
1950,0.99,167293,0.0787,0,"Ab",0.149,-13.021,0,101.322,"C"
1987,0.193,241933,0.539,0,"Bb",0.12,-13.105,0,91.996,"B"
1932,0.862,194173,0.413,0,"C",0.57,-8.187,0,96.055,"D"
1971,0.0311,236640,0.359,1,"B",0.103,-12.006,1,75.733,"D"
1958,0.867,343907,0.118,0,"F",0.0824,-17.033,0,82.221,"D"
1992,0.0883,328987,0.642,0,"Bb",0.131,-9.38,0,92.419,"B"
1939,0.972,177200,0.195,1,"F",0.245,-11.368,1,81.493,"D"
2009,0.642,257240,0.682,0,"A",0.314,-6.358,0,172.255,"B"
