"year","acousticness","duration","energy","explicit","key","liveness","loudness","mode","tempo","pop.class"
1962,0.612,146307,0.467,0,"D",0.151,-14.261,0,78.283,"C"
1945,0.887,466440,0.307,0,"Eb",0.118,-15.181,0,102.523,"D"
1954,0.849,148133,0.627,0,"F",0.087,-12.798,0,148.355,"C"
2009,0.0534,245293,0.63,1,"Gb",0.0948,-6.915,1,180.022,"B"
1979,0.559,190733,0.527,0,"Db",0.107,-12.564,0,90.619,"B"
1946,0.996,168413,0.0541,0,"Db",0.147,-30.169,0,77.224,"D"
1936,0.995,196209,0.0974,0,"E",0.219,-12.264,0,67.572,"D"
1953,0.971,168813,0.161,0,"Gb",0.263,-19.424,0,130.357,"D"
1938,0.995,181185,0.215,0,"A",0.489,-14.39,0,112.88,"D"
2009,0.21,188120,0.208,1,"A",0.105,-15.235,1,115.872,"B"
1965,0.114,170693,0.661,0,"E",0.465,-4.786,0,138.135,"D"
1995,0.483,389493,0.358,0,"Gb",0.0808,-11.451,0,120.758,"C"
1990,0.503,336573,0.69,1,"F",0.962,-8.06,1,103.94,"B"
1965,0.609,214147,0.225,1,"C",0.0891,-12.744,1,132.296,"D"
1954,0.92,547120,0.11,0,"B",0.0996,-16.18,0,124.126,"D"
1946,0.969,543653,0.0156,0,"G",0.0803,-25.729,0,73.662,"D"
1954,0.919,106440,0.139,0,"C",0.237,-15.205,0,94.629,"D"
1978,0.0803,276840,0.694,0,"G",0.898,-7.497,0,102.412,"C"
1971,0.865,98827,0.784,1,"Db",0.155,-9.757,1,104.746,"C"
1935,0.994,162213,0.325,1,"Db",0.11,-11.005,1,120.563,"D"
1977,0.221,246400,0.432,0,"B",0.203,-9.699,0,95.251,"C"
2005,0.00363,241693,0.575,0,"B",0.347,-7.83,0,159.99,"B"
2012,0.44,214905,0.555,0,"A",0.165,-6.804,0,90.002,"B"
2011,0.00249,211187,0.932,0,"F",0.211,-4.454,0,140.996,"B"
1928,0.996,88893,0.00843,0,"G",0.118,-30.115,0,72.44,"D"
1994,0.982,184000,0.0124,0,"G",0.183,-28.765,0,74.89,"B"
2010,5.21e-06,227627,0.85,0,"Db",0.245,-4.245,0,143.962,"B"
1973,0.386,188480,0.498,1,"E",0.104,-8.865,1,143.775,"C"
1990,0.677,251667,0.433,1,"C",0.164,-12.798,1,109.864,"A"
1977,0.132,451493,0.647,0,"G",0.984,-11.448,0,131.412,"C"
1960,0.307,418560,0.54,1,"F",0.363,-11.856,1,130.693,"C"
2008,0.277,227987,0.573,0,"C",0.111,-5.951,0,93.71,"C"
2011,0.244,154858,0.968,1,"D",0.121,-4.517,1,79.989,"B"
1986,0.0896,223641,0.946,1,"F",0.363,-4.785,1,175.777,"C"
1995,0.0248,279133,0.804,0,"Gb",0.48,-3.865,0,91.938,"A"
2017,0.739,192500,0.268,0,"Db",0.0718,-15.199,0,119.879,"A"
1974,0.575,207427,0.187,0,"C",0.0396,-17.26,0,117.075,"D"
1936,0.988,1172067,0.0894,0,"Bb",0.101,-20.953,0,86.005,"D"
1947,0.995,152612,0.187,0,"C",0.182,-18.939,0,79.89,"D"
1991,0.0658,215693,0.539,0,"G",0.192,-12.217,0,122.532,"C"
2006,0.651,124107,0.361,1,"E",0.0842,-16.461,1,140.226,"C"
1972,0.455,185067,0.533,0,"E",0.103,-9.988,0,114.175,"C"
1996,0.406,189333,0.858,1,"A",0.331,-8.339,1,92.393,"C"
2014,0.0489,204093,0.621,0,"G",0.294,-7.364,0,191.9,"A"
1991,0.00168,323333,0.659,0,"C",0.0513,-10.635,0,90.519,"C"
1982,0.409,286400,0.722,0,"C",0.104,-13.825,0,115.722,"C"
1955,0.547,134493,0.667,0,"Ab",0.131,-5.194,0,113.92,"D"
1962,0.741,415493,0.32,1,"C",0.685,-16.698,1,98.936,"D"
1961,0.8,182200,0.234,0,"C",0.178,-12.524,0,73.433,"D"
1948,0.995,90860,0.255,1,"C",0.422,-13.234,1,169.99,"D"
1945,0.918,166975,0.519,0,"C",0.156,-16.17,0,102.037,"D"
2007,0.0404,268960,0.657,0,"G",0.14,-6.722,0,111.115,"A"
1939,0.993,177467,0.307,0,"Eb",0.206,-13.796,0,113.786,"D"
2006,0.00138,283467,0.952,0,"C",0.381,-4.499,0,155.973,"B"
1938,0.917,154107,0.259,0,"F",0.0582,-11.539,0,77.095,"D"
1929,0.0925,130000,0.263,1,"D",0.106,-18.374,1,82.616,"D"
1983,0.000213,249080,0.974,0,"Db",0.111,-4.662,0,184.559,"C"
1959,0.781,197387,0.367,0,"Db",0.336,-10.153,0,81.151,"D"
1965,0.298,142067,0.525,0,"F",0.0691,-13.038,0,80.508,"C"
2011,0.015,249147,0.652,0,"B",0.0835,-5.701,0,109.988,"B"
1971,0.919,279840,0.166,0,"C",0.102,-16.823,0,85.062,"C"
1986,0.823,272867,0.16,0,"D",0.101,-17.424,0,140.25,"B"
2000,0.035,300933,0.896,0,"C",0.0941,-4.719,0,95.158,"B"
1925,0.904,169827,0.267,0,"F",0.188,-11.869,0,106.781,"D"
1985,0.0646,293400,0.948,0,"G",0.894,-7.13,0,98.493,"C"
1970,0.0771,321387,0.835,0,"D",0.228,-10.329,0,102.795,"C"
2013,0.414,295866,0.572,0,"Ab",0.0767,-11.73,0,137.203,"D"
1962,0.445,411867,0.161,0,"G",0.123,-18.215,0,76.302,"C"
1969,0.617,158880,0.397,0,"G",0.345,-12.981,0,101.403,"C"
2014,0.00652,230773,0.661,0,"A",0.0976,-4.984,0,110.978,"A"
1984,0.000169,263093,0.85,0,"G",0.357,-3.749,0,123.183,"C"
1989,0.000873,295053,0.987,0,"Db",0.823,-5.8,0,104.964,"C"
1926,0.59,142721,0.16,1,"A",0.127,-22.265,1,113.853,"D"
1957,0.565,173240,0.188,1,"D",0.202,-14.263,1,90.529,"C"
1924,0.932,207000,0.363,0,"Ab",0.189,-12.306,0,161.306,"D"
2016,0.0209,252235,0.582,0,"Gb",0.0937,-8.835,0,99.996,"B"
2017,0.0041,197640,0.804,0,"Ab",0.33,-5.194,0,144.992,"A"
1935,0.994,203013,0.302,0,"F",0.153,-18.149,0,108.298,"D"
1964,0.308,240067,0.259,0,"Gb",0.239,-17.656,0,98.415,"C"
1977,0.799,752720,0.151,0,"G",0.0738,-18.838,0,85.198,"C"
1930,0.968,179973,0.19,0,"C",0.284,-12.696,0,76.398,"D"
1985,0.405,274000,0.284,0,"G",0.184,-16.146,0,86.093,"C"
1963,0.733,138467,0.23,0,"D",0.149,-14.388,0,95.967,"C"
1960,0.646,154400,0.197,0,"E",0.291,-16.743,0,102.229,"C"
1958,0.812,560655,0.326,1,"G",0.247,-12.11,1,108.387,"D"
1962,0.123,110307,0.848,0,"G",0.0834,-7.429,0,91.284,"C"
2019,0.602,193027,0.822,0,"F",0.107,-2.85,0,81.981,"A"
2000,0.393,279400,0.6,0,"Gb",0.101,-6.966,0,140.992,"C"
1941,0.995,82253,0.256,0,"G",0.125,-17.647,0,99.949,"D"
1992,0.712,146467,0.278,0,"B",0.202,-13.733,0,117.96,"C"
1985,0.0177,299067,0.844,1,"B",0.111,-11.172,1,121.906,"C"
1957,0.741,316053,0.0873,1,"G",0.0884,-20.051,1,83.749,"D"
1937,0.984,168520,0.0647,1,"E",0.123,-14.839,1,96.499,"D"
1999,0.493,356693,0.672,0,"Bb",0.174,-6.601,0,98.232,"B"
1957,0.845,194373,0.575,0,"C",0.416,-10.643,0,100.703,"D"
2001,0.399,337760,0.774,1,"Db",0.189,-3.144,1,77.621,"C"
1970,0.387,183947,0.455,0,"C",0.433,-13.159,0,103.979,"C"
2002,0.119,201800,0.492,0,"Gb",0.0777,-6.309,0,91.098,"C"
1977,0.961,185720,0.231,0,"B",0.0741,-23.873,0,104.853,"C"
1945,0.84,201893,0.143,0,"Db",0.133,-11.506,0,112.954,"D"
1976,0.00658,153307,0.722,0,"E",0.08,-10.988,0,141.3,"B"
2001,0.506,268748,0.581,0,"Gb",0.109,-6.855,0,119.941,"C"
1947,0.987,186530,0.186,0,"Db",0.394,-20.204,0,94.557,"D"
1983,0.0743,400667,0.606,1,"Gb",0.135,-8.626,1,103.976,"C"
1959,0.614,179893,0.351,0,"Eb",0.0914,-12.518,0,94.293,"D"
1971,0.307,190667,0.825,0,"F",0.12,-7.741,0,101.072,"C"
1958,0.732,314133,0.326,1,"F",0.115,-16.283,1,112.546,"D"
1930,0.988,203653,0.445,1,"E",0.42,-12.024,1,78.084,"D"
1954,0.727,183000,0.14,1,"E",0.348,-15.666,1,76.744,"D"
2015,0.0928,196933,0.657,0,"Db",0.119,-4.787,0,133.188,"A"
1960,0.816,520173,0.266,1,"C",0.128,-13.881,1,80.329,"D"
1965,0.655,164800,0.809,0,"Bb",0.909,-7.492,0,137.443,"D"
